"","cntry","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"55","AT",5,8,8,2,2,7,8,7,2,2,5,8,6,7,3,3
"56","AT",7,9,9,2,3,2,3,6,6,5,9,8,7,2,1,2
"57","AT",9,10,10,6,6,6,7,8,7,8,7,8,7,5,3,2
"58","AT",5,7,8,5,3,5,5,8,6,5,8,8,8,6,5,4
"59","AT",5,8,8,4,4,4,4,9,5,2,4,1,8,7,4,5
"60","AT",8,7,7,6,6,6,6,9,6,6,6,7,7,6,7,6
"61","AT",5,8,8,4,4,5,5,8,4,4,5,6,8,4,5,4
"62","AT",2,10,0,0,0,6,6,8,8,8,8,8,8,5,5,5
"63","AT",4,5,9,2,3,4,6,10,3,3,6,6,3,5,4,3
"64","AT",6,8,10,5,5,7,10,9,8,7,7,3,10,10,5,10
"65","AT",7,7,8,6,7,7,8,10,5,7,8,8,8,6,6,3
"66","AT",7,8,8,5,5,5,5,7,4,6,7,6,8,5,5,5
"67","AT",4,6,7,3,2,3,5,7,6,4,8,7,8,6,5,4
"68","AT",3,3,5,1,1,1,1,8,5,1,2,5,5,2,2,2
"69","AT",7,10,6,2,1,7,8,8,1,9,5,7,9,2,1,2
"70","AT",6,8,8,0,0,4,4,8,7,4,4,3,3,10,5,5
"71","AT",6,8,9,5,3,5,6,8,6,5,8,7,8,5,5,4
"72","AT",6,10,7,5,5,6,6,8,7,6,6,8,7,5,1,1
"73","AT",6,5,8,4,5,5,6,10,4,2,5,6,7,6,6,5
"74","AT",7,10,10,7,7,7,9,10,8,6,8,10,9,9,8,5
"75","AT",4,6,6,2,2,0,2,6,2,0,3,5,7,3,4,2
"76","AT",3,5,5,1,1,1,1,8,8,5,5,8,8,8,8,8
"77","AT",8,9,9,6,5,8,8,9,8,8,7,8,9,9,8,7
"78","AT",7,8,9,6,6,6,8,9,7,5,7,8,8,7,5,5
"79","AT",4,6,4,1,1,1,1,10,10,1,1,1,1,7,10,10
"80","AT",4,7,8,5,3,5,6,8,6,6,9,8,9,7,4,4
"81","AT",2,7,7,2,2,2,2,6,5,5,5,7,3,5,5,3
"82","AT",6,7,7,5,5,7,8,9,6,3,5,5,4,8,8,8
"83","AT",8,8,9,3,4,4,2,6,4,4,4,5,6,2,2,2
"84","AT",5,3,9,1,1,0,3,6,3,1,0,3,4,0,0,0
"85","AT",8,9,9,5,5,7,7,7,4,3,4,6,8,1,2,2
"86","AT",0,7,7,0,0,0,0,5,1,0,1,2,1,4,4,4
"87","AT",9,9,10,7,6,8,5,10,4,6,6,8,7,4,5,4
"88","AT",0,0,4,0,0,0,0,5,0,0,2,3,4,5,4,4
"89","AT",4,3,6,3,5,3,3,3,4,6,5,5,5,5,4,4
"90","AT",3,7,0,0,0,2,5,9,7,0,0,10,10,8,4,3
"91","AT",7,9,8,6,6,4,2,8,7,5,6,8,7,5,4,5
"92","AT",7,9,9,5,5,6,6,4,7,2,8,7,8,10,8,8
"93","AT",1,3,1,1,1,1,0,8,3,1,3,6,9,2,2,2
"94","AT",6,8,8,5,5,5,8,8,6,8,8,8,8,7,7,7
"95","AT",5,5,5,5,5,5,5,8,5,6,6,7,7,6,4,4
"96","AT",3,2,3,1,1,0,0,10,7,7,7,7,7,5,2,1
"97","AT",3,3,6,3,3,3,3,10,10,5,5,7,5,5,5,5
"98","AT",7,9,10,6,5,8,10,8,9,7,7,8,8,10,10,8
"99","AT",5,6,6,5,6,5,5,9,4,3,4,8,8,5,5,5
"100","AT",3,6,6,2,2,1,5,9,4,1,8,3,3,8,5,2
"101","AT",5,6,6,3,3,5,5,8,6,6,7,6,7,7,6,5
"102","AT",2,7,7,0,1,0,1,9,5,0,4,6,7,10,6,6
"103","AT",10,10,10,10,8,8,8,9,6,7,8,7,8,5,5,5
"104","AT",9,6,5,9,7,6,8,7,5,1,4,3,8,3,2,4
"105","AT",10,10,10,7,7,9,9,9,9,7,9,9,9,5,6,6
"106","AT",2,6,9,1,2,3,5,8,5,2,2,9,6,8,7,4
"107","AT",4,7,7,3,3,1,2,8,3,3,3,6,7,3,3,3
"108","AT",7,6,8,8,8,3,3,10,10,8,6,7,10,5,6,4
"109","AT",4,4,4,2,4,1,1,9,6,4,7,9,9,6,3,3
"110","AT",1,4,7,0,0,3,2,4,1,1,5,7,5,7,8,5
"111","AT",1,5,8,0,0,0,3,10,9,4,8,0,3,9,1,4
"112","AT",4,8,10,1,3,2,2,8,7,2,4,2,3,6,6,5
"113","AT",6,7,5,5,7,6,5,7,7,8,8,7,8,7,5,6
"114","AT",4,7,8,3,2,4,5,8,7,5,9,8,9,6,4,4
"115","AT",7,8,8,7,7,7,8,8,6,7,7,7,8,6,6,6
"116","AT",4,2,4,7,5,4,3,6,6,6,5,6,5,5,4,4
"117","AT",4,4,4,4,4,4,4,9,1,1,4,6,5,4,5,4
"118","AT",6,8,9,4,6,2,6,8,3,3,7,5,3,1,0,0
"119","AT",9,10,10,9,9,9,9,9,7,9,8,9,9,5,6,5
"120","AT",8,9,8,8,7,6,6,9,7,6,8,7,7,8,10,5
"121","AT",7,8,8,5,5,6,3,10,7,7,8,8,9,6,6,5
"122","AT",4,4,8,2,2,0,5,9,6,3,7,5,2,2,2,3
"123","AT",7,7,7,7,7,7,7,7,8,7,8,10,10,10,10,10
"124","AT",5,4,5,2,2,2,1,8,3,3,5,4,6,3,5,2
"125","AT",5,10,8,2,1,6,5,9,3,3,8,4,3,7,6,6
"126","AT",6,7,8,6,6,7,8,7,8,8,8,7,8,8,8,8
"127","AT",10,7,9,8,4,10,7,9,3,7,9,7,3,0,0,0
"128","AT",4,8,9,4,4,5,5,8,5,3,6,3,8,6,7,2
"129","AT",3,6,8,0,4,6,4,7,8,0,0,7,7,6,3,2
"130","AT",3,3,3,2,2,1,1,4,2,0,0,2,1,8,5,5
"131","AT",3,4,4,3,3,3,3,7,4,4,6,8,5,5,4,3
"132","AT",6,6,8,6,6,6,6,7,7,7,7,3,9,2,3,2
"133","AT",9,10,10,8,8,10,7,8,7,8,9,9,9,5,5,5
"134","AT",8,9,9,7,7,6,8,9,5,5,7,9,8,5,5,5
"135","AT",6,7,7,4,6,0,0,7,6,5,8,9,9,7,0,0
"136","AT",7,9,9,7,7,6,6,7,6,7,7,6,8,3,5,3
"137","AT",1,5,5,1,1,5,5,6,5,2,5,1,5,2,1,2
"138","AT",3,10,10,5,5,3,4,8,3,4,9,10,6,6,5,4
"139","AT",5,7,8,5,5,5,5,6,4,5,6,5,5,5,5,3
"140","AT",9,10,10,9,6,8,8,9,9,9,9,7,7,7,5,4
"141","AT",3,3,3,1,1,0,0,7,2,0,1,4,7,4,2,2
"142","AT",7,8,10,5,5,5,5,7,4,5,7,10,0,1,0,0
"143","AT",6,10,10,7,5,3,5,9,5,3,5,5,5,7,2,2
"144","AT",5,8,9,5,3,5,6,9,6,6,8,8,7,6,5,5
"145","AT",5,10,10,3,5,6,7,8,6,2,4,8,9,7,2,5
"146","AT",4,4,6,4,2,5,5,8,7,4,8,4,8,3,5,5
"147","AT",4,8,9,4,2,4,5,8,6,5,8,8,8,6,5,4
"148","AT",4,8,10,4,1,3,1,10,0,0,3,4,1,8,6,5
"149","AT",6,8,9,1,1,3,7,7,8,4,7,8,6,10,5,3
"150","AT",3,3,3,0,0,0,2,5,4,4,5,5,3,5,2,3
"151","AT",5,7,10,4,6,5,8,5,5,5,5,5,5,7,7,8
"152","AT",3,0,2,5,4,0,0,9,8,2,5,5,8,2,3,3
"153","AT",3,3,5,2,2,0,0,8,3,2,5,4,6,3,2,4
"154","AT",4,3,10,4,5,6,4,8,3,5,6,10,2,2,0,1
"155","AT",7,9,9,5,5,7,7,8,7,7,8,7,6,7,5,5
"156","AT",7,7,6,6,6,7,8,8,4,3,6,6,6,9,7,5
"157","AT",7,7,8,5,5,5,7,8,6,6,8,6,8,6,5,4
"158","AT",5,2,8,4,4,2,1,10,8,10,5,7,10,10,10,8
"159","AT",2,5,8,0,0,0,1,5,3,1,3,5,4,8,9,6
"160","AT",6,5,9,6,6,6,7,8,7,6,7,5,6,5,4,3
"161","AT",6,8,8,5,5,5,5,7,4,4,5,5,7,4,5,3
"162","AT",5,10,10,5,5,5,8,8,8,6,7,8,9,7,6,6
"163","AT",6,6,7,7,7,6,7,7,5,5,6,5,4,10,8,5
"164","AT",5,4,7,5,5,3,5,9,7,6,5,6,1,7,5,5
"165","AT",0,1,1,0,0,0,0,10,3,0,3,2,1,0,0,0
"166","AT",6,4,4,6,6,6,6,8,6,5,5,6,6,3,4,4
"167","AT",4,7,8,2,2,4,5,8,6,5,9,7,8,6,4,4
"168","AT",6,7,7,5,5,5,5,10,5,7,7,4,6,5,5,5
"169","AT",7,6,8,6,5,6,6,8,7,6,7,5,7,7,4,4
"170","AT",3,9,9,4,1,5,6,7,6,5,6,8,8,6,7,5
"171","AT",3,5,8,2,3,4,5,10,8,6,7,8,7,8,2,4
"172","AT",6,8,6,6,4,5,6,6,6,6,8,6,6,6,4,6
"173","AT",3,3,3,2,1,0,1,6,2,0,1,3,3,3,2,2
"174","AT",0,7,7,0,0,3,3,9,5,0,3,10,10,8,8,8
"175","AT",8,8,8,5,5,5,5,10,5,3,3,6,7,7,7,6
"176","AT",4,3,3,3,1,1,1,8,2,0,2,3,3,2,2,1
"177","AT",0,5,7,0,0,0,3,8,1,0,5,2,5,0,0,0
"178","AT",5,7,8,4,2,3,4,8,6,5,8,8,8,5,4,4
"179","AT",5,9,9,5,5,9,9,8,8,5,7,10,10,8,4,5
"180","AT",6,8,8,5,4,6,6,7,7,5,7,6,6,6,4,5
"181","AT",6,10,10,7,6,5,7,9,9,7,8,8,9,10,10,10
"182","AT",8,10,8,7,7,7,9,9,5,0,8,2,7,9,7,5
"183","AT",10,7,9,8,8,7,10,8,3,4,4,3,5,6,8,7
"184","AT",5,7,7,4,7,5,5,7,3,3,3,7,8,6,6,6
"185","AT",4,4,1,3,3,6,7,6,1,2,4,6,4,8,9,7
"186","AT",8,10,10,3,4,3,5,9,8,3,3,10,2,5,0,0
"187","AT",4,8,9,3,2,3,5,6,7,5,6,7,9,6,3,4
"188","AT",3,2,3,3,3,4,3,5,5,2,2,3,4,3,2,0
"189","AT",10,10,10,10,10,9,9,9,8,9,8,9,8,6,5,6
"190","AT",5,5,7,4,6,5,5,5,5,5,6,5,3,7,5,5
"191","AT",6,6,8,3,6,7,6,3,4,4,5,4,4,9,7,5
"192","AT",1,2,2,0,0,0,0,3,2,0,2,1,2,3,5,4
"193","AT",5,6,6,4,4,4,4,8,5,1,8,5,5,7,5,5
"194","AT",6,8,9,5,3,4,5,8,5,4,8,7,6,6,4,4
"195","AT",3,5,5,0,0,0,0,7,7,3,6,7,8,5,6,5
"196","AT",3,5,6,3,3,4,1,8,4,4,6,2,8,5,6,4
"197","AT",10,10,10,7,7,10,8,9,8,7,9,9,8,8,9,8
"198","AT",8,8,5,5,5,2,8,8,7,4,8,5,8,7,7,5
"199","AT",5,8,7,4,4,5,5,10,4,3,4,9,9,8,5,5
"200","AT",5,5,6,4,3,2,1,8,4,2,4,5,5,0,3,2
"201","AT",6,8,8,4,5,6,2,9,8,8,9,8,9,3,1,1
"202","AT",3,8,9,3,2,5,6,7,6,5,8,8,8,6,5,4
"203","AT",2,5,8,2,2,0,0,5,1,0,0,5,5,0,0,0
"204","AT",1,2,4,1,1,1,1,9,1,1,2,0,0,1,0,0
"205","AT",5,7,8,3,2,4,5,8,6,4,8,8,8,5,4,4
"206","AT",10,10,10,10,10,10,10,8,8,7,8,9,9,5,5,5
"207","AT",8,8,9,9,8,9,5,8,7,9,9,8,9,5,5,3
"208","AT",1,1,1,0,0,0,2,9,1,0,2,1,3,1,2,2
"209","AT",5,8,8,4,4,5,5,8,4,3,4,5,7,2,2,2
"210","AT",10,10,10,8,8,9,8,9,7,7,8,7,8,4,4,4
"211","AT",7,9,10,7,7,7,9,9,6,4,5,8,7,4,4,4
"212","AT",7,7,7,7,7,7,7,8,7,4,5,5,5,6,4,4
"213","AT",6,9,9,3,4,5,5,10,10,8,8,10,10,10,10,7
"214","AT",10,10,10,10,8,9,8,10,8,9,8,9,8,6,6,5
"215","AT",6,4,3,0,3,5,5,10,4,1,1,8,10,0,0,1
"216","AT",6,7,7,6,5,7,7,9,10,10,10,10,10,10,10,10
"217","AT",9,10,10,7,9,9,9,8,7,4,6,7,7,5,4,4
"218","AT",3,4,4,1,1,1,2,5,3,3,4,5,1,2,1,1
"219","AT",7,8,7,4,4,6,8,9,6,4,5,5,6,8,8,8
"220","AT",5,7,8,3,1,5,6,8,7,6,9,9,9,7,5,4
"221","AT",5,4,3,7,10,2,5,5,0,2,5,2,9,3,3,5
"222","AT",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"223","AT",2,5,5,2,2,1,1,7,2,1,2,4,7,1,5,2
"224","AT",5,6,9,1,4,3,9,6,5,4,3,4,3,5,5,5
"225","AT",0,5,9,0,0,0,0,10,0,0,0,2,2,3,1,4
"226","AT",1,4,3,0,1,3,3,8,5,2,6,7,3,7,8,7
"227","AT",8,7,8,7,7,6,6,9,8,6,8,7,9,6,5,7
"228","AT",4,4,5,3,3,3,3,10,7,5,5,7,7,8,8,8
"229","AT",5,8,8,6,6,9,9,9,2,0,1,0,2,1,1,2
"230","AT",3,6,9,5,3,3,4,7,3,3,6,8,8,2,2,2
"231","AT",6,5,8,3,5,6,7,8,6,3,6,5,7,6,5,3
"232","AT",5,10,8,4,4,4,4,10,4,3,8,8,7,4,9,5
"233","AT",7,8,8,5,5,5,2,9,8,7,8,8,9,5,5,5
"234","AT",5,7,8,4,4,8,7,9,5,0,5,10,8,7,3,0
"235","AT",4,8,8,3,2,5,7,10,4,1,5,3,2,10,10,6
"236","AT",5,7,8,2,2,2,4,7,4,2,5,3,2,9,6,5
"237","AT",9,9,9,6,6,7,5,10,7,5,5,6,8,4,3,5
"238","AT",5,4,6,5,5,0,0,7,4,3,7,7,7,2,2,2
"239","AT",7,7,7,4,4,6,6,8,7,5,4,6,7,6,6,5
"240","AT",8,6,8,4,4,2,7,7,4,4,7,1,5,4,6,3
"241","AT",2,2,10,1,1,1,0,10,6,6,4,4,7,6,7,4
"242","AT",10,10,10,10,10,10,10,9,9,8,9,9,9,4,5,5
"243","AT",4,7,6,4,5,7,7,8,5,4,6,3,4,8,6,7
"244","AT",5,5,7,3,4,5,4,5,2,5,7,3,5,5,7,5
"245","AT",7,9,9,4,5,7,7,7,7,6,8,8,8,5,5,5
"246","AT",8,6,10,8,7,9,8,6,4,7,8,9,7,0,0,0
"247","AT",7,7,10,9,8,7,8,9,10,7,9,10,4,4,1,0
"248","AT",5,8,9,2,2,3,3,8,3,3,3,6,7,3,4,4
"249","AT",6,8,9,5,6,6,7,4,5,6,8,5,6,6,6,5
"250","AT",7,8,8,5,5,8,8,8,5,4,4,8,9,4,5,3
"251","AT",4,6,9,5,4,0,0,10,9,5,5,5,10,9,8,9
"252","AT",4,7,8,3,3,3,3,8,4,3,8,5,5,5,5,4
"253","AT",9,10,10,10,9,9,10,9,8,9,9,8,9,7,6,7
"254","AT",3,9,10,4,5,5,5,8,8,6,6,8,8,6,5,5
"255","AT",5,3,7,3,5,4,5,10,3,5,5,6,6,5,2,5
"256","AT",8,8,8,6,6,7,9,6,9,6,9,6,8,10,8,7
"257","AT",7,8,8,7,7,6,5,8,7,7,7,8,9,10,10,10
"258","AT",10,10,10,10,10,10,9,8,7,10,9,9,9,8,9,8
"259","AT",5,7,7,3,3,5,5,8,4,4,5,7,8,4,5,3
"260","AT",10,10,10,10,10,10,9,8,8,9,9,9,9,8,9,8
"261","AT",0,8,7,0,0,1,4,3,4,0,9,7,7,6,4,2
"262","AT",7,8,8,7,7,7,8,9,7,5,5,7,7,5,3,3
"263","AT",6,8,9,4,3,5,5,8,6,5,8,8,8,6,5,5
"264","AT",5,7,8,5,5,5,7,8,8,6,6,6,7,7,7,7
"265","AT",3,7,7,5,5,4,5,9,6,4,6,7,8,8,6,4
"266","AT",4,8,8,5,5,4,7,8,7,2,7,7,7,7,8,8
"267","AT",4,3,3,2,3,1,2,8,2,1,3,2,4,8,8,8
"268","AT",6,7,7,4,3,5,3,9,6,4,7,6,7,4,2,3
"269","AT",4,6,6,2,2,2,2,7,3,2,4,4,7,3,4,2
"270","AT",6,8,5,3,3,8,5,8,6,4,7,7,8,7,8,6
"271","AT",0,3,8,2,2,4,5,8,6,8,7,10,10,7,6,6
"272","AT",2,4,9,5,4,3,5,4,3,2,3,6,2,3,1,2
"273","AT",4,5,6,2,2,3,3,8,7,4,6,5,6,6,5,5
"274","AT",2,6,6,2,3,3,3,8,6,3,4,3,3,5,5,4
"275","AT",6,6,8,5,6,6,8,9,5,5,7,6,7,7,6,3
"276","AT",9,9,8,5,4,4,5,7,6,4,3,5,6,7,6,4
"277","AT",9,9,9,9,8,9,8,10,8,9,8,9,9,6,5,6
"278","AT",2,6,5,2,2,3,2,9,6,4,6,6,7,8,10,9
"279","AT",5,8,9,4,2,5,6,8,6,5,8,8,7,7,6,4
"280","AT",9,9,9,9,9,7,7,9,9,10,9,9,8,5,5,5
"281","AT",6,7,9,5,3,5,5,8,6,5,9,8,8,6,5,4
"282","AT",6,10,10,3,3,5,5,8,6,5,7,8,5,10,5,5
"283","AT",3,4,6,2,2,2,2,10,4,1,2,5,6,3,0,0
"284","AT",6,8,8,4,4,5,2,9,8,7,9,8,8,4,4,5
"285","AT",4,4,4,3,3,3,3,8,5,3,5,4,4,6,7,6
"286","AT",3,8,10,5,5,3,5,7,5,3,4,8,8,4,2,4
"287","AT",1,5,7,1,0,0,0,9,2,0,0,8,7,5,2,1
"288","AT",1,0,0,0,0,0,0,8,1,0,0,5,2,4,3,4
"289","AT",3,2,8,1,2,2,2,8,4,2,3,3,2,2,3,2
"290","AT",0,5,10,0,0,4,4,10,2,3,3,8,3,4,5,4
"291","AT",10,10,10,10,10,10,10,9,8,9,8,9,9,6,5,6
"292","AT",5,7,8,3,2,5,6,7,7,5,8,8,9,7,5,4
"293","AT",5,5,8,3,3,2,2,10,7,4,7,4,8,8,3,6
"294","AT",5,7,6,5,5,5,5,7,5,6,6,7,7,6,2,4
"295","AT",7,9,8,5,5,7,9,10,8,6,8,8,8,9,8,6
"296","AT",0,10,10,0,0,4,4,8,4,0,4,10,10,7,0,0
"297","AT",3,8,8,1,1,4,8,8,6,2,3,6,7,8,7,7
"298","AT",5,5,7,5,5,6,8,9,7,5,8,8,10,0,0,0
"299","AT",5,8,8,4,4,5,5,9,4,1,3,3,4,4,7,5
"300","AT",5,9,9,5,3,4,5,8,6,5,8,9,8,7,5,4
"301","AT",7,9,7,8,8,9,9,2,4,3,7,8,7,0,2,0
"302","AT",4,6,8,6,6,6,6,9,6,6,6,6,7,5,5,5
"303","AT",7,9,8,6,7,8,9,9,8,6,8,8,6,2,1,2
"304","AT",7,8,8,2,6,5,7,8,7,4,8,10,6,5,5,5
"305","AT",6,10,10,3,6,6,6,9,7,4,4,6,7,6,3,3
"306","AT",1,1,2,2,2,0,1,7,5,1,5,5,7,5,5,1
"307","AT",4,7,8,4,3,4,5,8,7,6,8,9,9,6,4,3
"308","AT",5,5,1,2,2,7,8,10,2,1,6,4,0,8,8,8
"309","AT",5,3,5,5,5,3,3,8,7,6,6,4,8,7,3,4
"310","AT",5,6,7,3,5,5,5,8,7,6,6,6,6,3,3,3
"311","AT",4,6,7,1,1,1,0,5,3,2,6,5,2,2,2,2
"312","AT",3,5,6,2,2,1,1,7,3,1,2,5,7,2,1,1
"313","AT",2,2,4,0,0,0,0,9,6,0,4,2,0,6,5,4
"314","AT",7,8,8,5,5,6,6,8,5,6,5,4,8,5,2,4
"315","AT",6,5,8,2,2,2,5,8,4,2,3,2,3,7,5,5
"316","AT",6,7,10,4,4,4,4,8,6,7,7,8,3,4,2,3
"317","AT",0,1,4,2,2,4,4,10,2,1,2,8,4,6,3,2
"318","AT",9,9,10,10,8,8,8,8,7,8,8,8,8,5,5,5
"319","AT",5,7,9,2,2,3,4,8,6,1,3,2,2,3,2,2
"320","AT",2,4,4,1,1,1,1,7,3,1,3,3,3,7,5,5
"321","AT",6,10,10,2,2,6,6,8,8,0,6,8,8,10,4,3
"322","AT",6,7,8,5,5,6,6,8,6,7,8,6,6,6,4,5
"323","AT",7,7,10,5,6,6,8,8,7,6,8,7,8,6,5,3
"324","AT",4,10,4,4,4,10,10,7,8,5,5,10,10,5,0,0
"325","AT",7,8,8,5,5,2,5,9,6,2,7,4,7,10,7,0
"326","AT",6,6,7,4,4,5,5,10,4,5,7,8,8,7,5,5
"327","AT",0,5,5,0,0,0,0,7,3,1,2,5,5,4,0,0
"328","AT",6,8,9,2,0,1,6,8,6,2,8,5,4,4,3,4
"329","AT",8,9,10,3,3,9,10,9,5,5,8,8,9,8,6,1
"330","AT",0,0,0,0,0,0,0,9,3,0,0,3,5,4,5,5
"331","AT",1,4,6,0,0,0,1,8,0,2,0,6,3,5,3,5
"332","AT",5,7,8,2,2,4,5,7,7,5,10,10,10,8,8,3
"333","AT",6,6,3,3,3,0,0,7,4,1,4,3,3,4,5,3
"334","AT",7,7,7,7,7,9,7,8,7,6,7,8,8,5,6,5
"335","AT",0,2,4,2,4,3,4,7,6,3,8,8,8,7,4,5
"336","AT",5,6,7,3,3,4,5,5,4,5,8,10,8,8,8,5
"337","AT",2,5,8,2,2,0,0,7,5,0,2,8,8,8,6,5
"338","AT",3,2,6,1,2,3,4,10,3,1,5,5,6,5,4,3
"339","AT",6,7,8,5,5,6,6,8,6,4,9,6,7,4,4,4
"340","AT",3,10,4,4,4,6,4,0,5,0,7,10,10,0,10,8
"341","AT",7,9,8,4,3,4,6,8,7,5,7,5,3,7,5,8
"342","AT",1,4,6,1,1,0,4,8,7,3,9,9,8,7,5,2
"343","AT",5,7,8,4,2,1,0,8,5,1,1,5,5,5,6,4
"344","AT",7,9,9,5,5,5,2,9,8,7,9,8,9,5,6,5
"345","AT",5,7,7,3,3,4,4,7,4,3,4,5,7,3,4,3
"346","AT",7,10,10,5,3,6,7,6,7,7,7,8,8,7,8,6
"347","AT",0,0,8,0,0,0,0,10,8,0,4,8,7,7,0,5
"348","AT",1,6,6,1,1,4,7,7,2,0,1,6,6,7,8,8
"349","AT",2,3,5,2,2,4,2,7,0,2,6,1,2,8,7,6
"350","AT",6,6,8,5,6,5,7,8,5,6,6,5,7,6,6,3
"351","AT",8,9,8,5,5,7,8,8,6,4,3,6,7,8,6,8
"352","AT",3,5,5,3,4,4,6,8,6,2,4,7,7,7,3,7
"353","AT",6,7,7,5,4,5,5,6,5,5,5,5,5,8,9,5
"354","AT",3,6,8,3,2,4,4,9,5,5,7,6,3,6,6,7
"355","AT",5,6,7,2,2,2,2,7,5,2,5,5,6,3,3,3
"356","AT",8,9,9,6,6,6,6,8,2,3,8,2,2,6,7,4
"357","AT",7,9,9,5,5,6,5,10,9,5,8,9,9,8,8,8
"358","AT",7,7,8,7,7,7,8,9,7,7,7,7,8,6,8,7
"359","AT",6,7,8,3,2,4,5,8,6,5,8,7,7,6,5,4
"360","AT",6,6,8,5,6,6,8,8,5,6,7,7,6,6,5,3
"361","AT",3,7,7,5,4,5,5,9,8,5,7,7,7,7,5,5
"362","AT",6,8,8,3,2,4,7,8,8,7,3,8,9,10,5,7
"363","AT",7,9,8,5,6,8,7,8,9,4,8,10,10,8,3,3
"364","AT",4,4,5,2,2,3,3,9,5,4,4,3,7,7,6,5
"365","AT",3,5,7,1,1,0,0,10,7,1,1,3,7,3,2,5
